Attraction,CityName,Country,AttractionType,VisitCount,AverageRating,RecommendationScore
Malioboro Road,N'Djamena,Singapore,Flea & Street Markets,143,3.797202797202797,0.6772964899178491
Sacred Monkey Forest Sanctuary,Douala,Malta,Nature & Wildlife Areas,17,4.176470588235294,0.6752800597460792
Tanah Lot Temple,Douala,Poland,Religious Sites,17,4.176470588235294,0.6752800597460792
Water Castle (Tamansari),N'Djamena,United States,Points of Interest & Landmarks,97,3.845360824742268,0.6752053771471247
Seminyak Beach,Douala,United States,Beaches,229,3.6986899563318776,0.6748319641523525
Tegalalang Rice Terrace,Douala,Hungary,Points of Interest & Landmarks,12,4.333333333333333,0.6731142643764003
Tegalalang Rice Terrace,Douala,Finland,Points of Interest & Landmarks,23,4.043478260869565,0.6723674383868559
Tanah Lot Temple,Douala,Saudi Arabia,Religious Sites,11,4.363636363636363,0.6719940253920836
Ratu Boko Temple,N'Djamena,United Kingdom,Ancient Ruins,11,4.363636363636363,0.6719940253920836
Kuta Beach - Bali,Douala,Saudi Arabia,Beaches,11,4.363636363636363,0.6719940253920836
Waterbom Bali,Douala,Brunei Darussalam,Water Parks,11,4.363636363636363,0.6719940253920836
Malioboro Road,N'Djamena,Poland,Flea & Street Markets,88,3.852272727272727,0.6711725168035847
Waterbom Bali,Douala,Turkey,Water Parks,6,4.833333333333333,0.6705003734129948
Khayangan Reflexology & Massage,South Region,Singapore,Spas,6,4.833333333333333,0.6705003734129948
Waterbom Bali,Douala,Brazil,Water Parks,6,4.833333333333333,0.6705003734129948
Waterbom Bali,Douala,Estonia,Water Parks,6,4.833333333333333,0.6705003734129948
Waterbom Bali,Douala,Nepal,Water Parks,6,4.833333333333333,0.6705003734129948
Kalibiru National Park,N'Djamena,United States,National Parks,37,4.0,0.6684092606422702
Seminyak Beach,Douala,New Zealand,Beaches,113,3.7610619469026547,0.6673637042569082
Sacred Monkey Forest Sanctuary,Douala,Iran,Nature & Wildlife Areas,10,4.4,0.6667662434652726
Uluwatu Temple,Douala,Egypt,Religious Sites,10,4.4,0.6667662434652726
Khayangan Reflexology & Massage,South Region,Indonesia,Spas,14,4.214285714285714,0.6648991784914114
Coban Rondo Waterfall,South Region,Indonesia,Waterfalls,35,4.0,0.6632561613144137
Nusa Dua Beach,Douala,Spain,Beaches,9,4.444444444444445,0.6626587005227782
Waterbom Bali,Douala,Norway,Water Parks,9,4.444444444444445,0.6626587005227782
Tegalalang Rice Terrace,Douala,Saudi Arabia,Points of Interest & Landmarks,9,4.444444444444445,0.6626587005227782
Kuta Beach - Bali,Douala,Australia,Beaches,709,3.4330042313117066,0.6625840179238237
Sewu Temple,N'Djamena,Malaysia,Ancient Ruins,19,4.052631578947368,0.6621359223300971
Yogyakarta Palace,N'Djamena,United States,Historic Sites,187,3.641711229946524,0.6611650485436893
Seminyak Beach,Douala,Canada,Beaches,72,3.8333333333333335,0.6609410007468259
Tanah Lot Temple,Douala,Czech Republic,Religious Sites,17,4.117647058823529,0.6609410007468259
Tanah Lot Temple,Douala,Japan,Religious Sites,17,4.117647058823529,0.6609410007468259
Tegenungan Waterfall,Douala,Turkey,Waterfalls,8,4.5,0.6608663181478716
Sacred Monkey Forest Sanctuary,Douala,Mariana Islands,Nature & Wildlife Areas,8,4.5,0.6608663181478716
Ratu Boko Temple,N'Djamena,United States,Ancient Ruins,53,3.9622641509433962,0.6601194921583271
Tegalalang Rice Terrace,Douala,Qatar,Points of Interest & Landmarks,13,4.230769230769231,0.6596713965646004
Yogyakarta Palace,N'Djamena,Indonesia,Historic Sites,128,3.6953125,0.6592979835698283
Tanah Lot Temple,Douala,Georgia,Religious Sites,7,4.571428571428571,0.6592979835698283
Uluwatu Temple,Douala,Mexico,Religious Sites,7,4.571428571428571,0.6592979835698283
Seminyak Beach,Douala,Saudi Arabia,Beaches,7,4.571428571428571,0.6592979835698283
Ramayana Ballet at Prambanan,N'Djamena,Australia,Ballets,7,4.571428571428571,0.6592979835698283
Sanur Beach,Douala,South Korea,Beaches,7,4.571428571428571,0.6592979835698283
Sanur Beach,Douala,Singapore,Beaches,78,3.7948717948717947,0.6588498879761016
Tanah Lot Temple,Douala,Netherlands,Religious Sites,56,3.9285714285714284,0.6572815533980583
Sacred Monkey Forest Sanctuary,Douala,Colombia,Nature & Wildlife Areas,4,5.0,0.6571321882001493
Khayangan Reflexology & Massage,South Region,Netherlands,Spas,4,5.0,0.6571321882001493
Waterbom Bali,Douala,Latvia,Water Parks,4,5.0,0.6571321882001493
Tanah Lot Temple,Douala,Lithuania,Religious Sites,4,5.0,0.6571321882001493
Sacred Monkey Forest Sanctuary,Douala,Panama,Nature & Wildlife Areas,4,5.0,0.6571321882001493
Sacred Monkey Forest Sanctuary,Douala,Trinidad and Tobago,Nature & Wildlife Areas,4,5.0,0.6571321882001493
Sacred Monkey Forest Sanctuary,Douala,Republic of North Macedonia,Nature & Wildlife Areas,4,5.0,0.6571321882001493
Sanur Beach,Douala,Belgium,Beaches,18,4.055555555555555,0.6570575056011949
Sanur Beach,Douala,Finland,Beaches,15,4.133333333333334,0.6539208364451082
Nusa Dua Beach,Douala,Romania,Beaches,15,4.133333333333334,0.6539208364451082
Waterbom Bali,Douala,Mexico,Water Parks,6,4.666666666666667,0.6522778192681106
Tanah Lot Temple,Douala,Sri Lanka,Religious Sites,6,4.666666666666667,0.6522778192681106
Sanur Beach,Douala,Taiwan,Beaches,6,4.666666666666667,0.6522778192681106
Waterbom Bali,Douala,Pakistan,Water Parks,6,4.666666666666667,0.6522778192681106
Water Castle (Tamansari),N'Djamena,Singapore,Points of Interest & Landmarks,67,3.791044776119403,0.6521284540702017
Seminyak Beach,Douala,Malaysia,Beaches,67,3.791044776119403,0.6521284540702017
Jomblang Cave,N'Djamena,Malaysia,Caverns & Caves,11,4.2727272727272725,0.6506348020911128
Tanah Lot Temple,Douala,Egypt,Religious Sites,11,4.2727272727272725,0.6506348020911128
Uluwatu Temple,Douala,Thailand,Religious Sites,47,3.9361702127659575,0.6504107542942494
Tanah Lot Temple,Douala,South Africa,Religious Sites,49,3.8979591836734695,0.650336071695295
Tegalalang Rice Terrace,Douala,Belgium,Points of Interest & Landmarks,46,3.9565217391304346,0.6502613890963406
Tegalalang Rice Terrace,Douala,Thailand,Points of Interest & Landmarks,76,3.75,0.6501867064973862
Merapi Volcano,N'Djamena,Netherlands,Volcanos,17,4.0588235294117645,0.6498879761015683
Jodipan Colorful Village,South Region,Indonesia,Neighborhoods,17,4.0588235294117645,0.6498879761015683
Malioboro Road,N'Djamena,Australia,Flea & Street Markets,48,3.8958333333333335,0.6481702763256161
Tegalalang Rice Terrace,Douala,Philippines,Points of Interest & Landmarks,63,3.7777777777777777,0.6472740851381628
Tegalalang Rice Terrace,Douala,Bangladesh,Points of Interest & Landmarks,14,4.142857142857143,0.6465272591486183
Tegalalang Rice Terrace,Douala,Oman,Points of Interest & Landmarks,5,4.8,0.6460791635548917
Tegalalang Rice Terrace,Douala,Iran,Points of Interest & Landmarks,5,4.8,0.6460791635548917
Uluwatu Temple,Douala,Iran,Religious Sites,5,4.8,0.6460791635548917
Tanah Lot Temple,Douala,Mariana Islands,Religious Sites,5,4.8,0.6460791635548917
Sacred Monkey Forest Sanctuary,Douala,Sri Lanka,Nature & Wildlife Areas,16,4.0625,0.6449589245705751
Waterbom Bali,Douala,South Korea,Water Parks,10,4.3,0.6443614637789395
Sacred Monkey Forest Sanctuary,Douala,Kuwait,Nature & Wildlife Areas,10,4.3,0.6443614637789395
Merapi Volcano,N'Djamena,Australia,Volcanos,47,3.872340425531915,0.6441374159820762
Tegenungan Waterfall,Douala,Canada,Waterfalls,70,3.7285714285714286,0.6440627333831217
Merapi Volcano,N'Djamena,Switzerland,Volcanos,9,4.333333333333333,0.6421956684092607
Seminyak Beach,Douala,South Korea,Beaches,9,4.333333333333333,0.6421956684092607
Uluwatu Temple,Douala,Qatar,Religious Sites,9,4.333333333333333,0.6421956684092607
Tegalalang Rice Terrace,Douala,Sri Lanka,Points of Interest & Landmarks,13,4.153846153846154,0.6405526512322628
Waterbom Bali,Douala,Russia,Water Parks,13,4.153846153846154,0.6405526512322628
Tanah Lot Temple,Douala,Greece,Religious Sites,13,4.153846153846154,0.6405526512322628
Tegalalang Rice Terrace,Douala,Vietnam,Points of Interest & Landmarks,15,4.066666666666666,0.6401792382374907
Tanah Lot Temple,Douala,Vietnam,Religious Sites,15,4.066666666666666,0.6401792382374907
Water Castle (Tamansari),N'Djamena,United Kingdom,Points of Interest & Landmarks,57,3.754385964912281,0.6399551904406273
Tegalalang Rice Terrace,Douala,Spain,Points of Interest & Landmarks,48,3.8125,0.6393577296489917
Kuta Beach - Bali,Douala,United Kingdom,Beaches,311,3.260450160771704,0.6392830470500372
Yogyakarta Palace,N'Djamena,Singapore,Historic Sites,103,3.5145631067961167,0.639058999253174
Nusa Dua Beach,Douala,Croatia,Beaches,8,4.375,0.6387602688573563
Nusa Dua Beach,Douala,Brazil,Beaches,8,4.375,0.6387602688573563
Sanur Beach,Douala,Netherlands,Beaches,80,3.65,0.6387602688573562
Tegalalang Rice Terrace,Douala,Sweden,Points of Interest & Landmarks,43,3.86046511627907,0.6374906646751307
Tegalalang Rice Terrace,Douala,Slovenia,Points of Interest & Landmarks,12,4.166666666666667,0.6356235997012696
Yogyakarta Palace,N'Djamena,United Kingdom,Historic Sites,84,3.5476190476190474,0.6322628827483197
Uluwatu Temple,Douala,Switzerland,Religious Sites,14,4.071428571428571,0.6321882001493652
Sacred Monkey Forest Sanctuary,Douala,Mauritius,Nature & Wildlife Areas,7,4.428571428571429,0.6312173263629574
Nusa Dua Beach,Douala,Bangladesh,Beaches,7,4.428571428571429,0.6312173263629574
Tegalalang Rice Terrace,Douala,Kuwait,Points of Interest & Landmarks,7,4.428571428571429,0.6312173263629574
Tegenungan Waterfall,Douala,United Arab Emirates,Waterfalls,38,3.8684210526315788,0.6309932785660941
Sanur Beach,Douala,Malaysia,Beaches,37,3.891891891891892,0.630321135175504
Malioboro Road,N'Djamena,China,Flea & Street Markets,46,3.782608695652174,0.6302464525765497
Nusa Dua Beach,Douala,France,Beaches,11,4.181818181818182,0.6301717699775952
Ramayana Ballet at Prambanan,N'Djamena,Canada,Ballets,11,4.181818181818182,0.6301717699775952
Seminyak Beach,Douala,Netherlands,Beaches,37,3.864864864864865,0.6279312920089618
Tegenungan Waterfall,Douala,Romania,Waterfalls,13,4.076923076923077,0.6248693054518297
Ramayana Ballet at Prambanan,N'Djamena,Malaysia,Ballets,13,4.076923076923077,0.6248693054518297
Nusa Dua Beach,Douala,Saudi Arabia,Beaches,10,4.2,0.6247946228528753
Uluwatu Temple,Douala,Portugal,Religious Sites,10,4.2,0.6247946228528753
Kuta Beach - Bali,Douala,South Africa,Beaches,62,3.6129032258064515,0.6244958924570574
Tegalalang Rice Terrace,Douala,Denmark,Points of Interest & Landmarks,48,3.7083333333333335,0.6233756534727408
Waterbom Bali,Douala,Lebanon,Water Parks,6,4.5,0.622554144884242
Mount Semeru Volcano,South Region,Malaysia,Volcanos,6,4.5,0.622554144884242
Water Castle (Tamansari),N'Djamena,Australia,Points of Interest & Landmarks,6,4.5,0.622554144884242
Tegenungan Waterfall,Douala,Sri Lanka,Waterfalls,6,4.5,0.622554144884242
Tanah Lot Temple,Douala,Qatar,Religious Sites,6,4.5,0.622554144884242
Seminyak Beach,Douala,China,Beaches,39,3.769230769230769,0.6202389843166541
Sanur Beach,Douala,Hungary,Beaches,5,4.6,0.6200896191187453
Tanah Lot Temple,Douala,Hungary,Religious Sites,5,4.6,0.6200896191187453
Nusa Dua Beach,Douala,Iran,Beaches,5,4.6,0.6200896191187453
Uluwatu Temple,Douala,Brunei Darussalam,Religious Sites,5,4.6,0.6200896191187453
Tegalalang Rice Terrace,Douala,Malta,Points of Interest & Landmarks,5,4.6,0.6200896191187453
Seminyak Beach,Douala,Oman,Beaches,3,5.0,0.6199402539208365
Waterbom Bali,Douala,Hong Kong,Water Parks,3,5.0,0.6199402539208365
Jodipan Colorful Village,South Region,United Kingdom,Neighborhoods,3,5.0,0.6199402539208365
Tegalalang Rice Terrace,Douala,Republic of North Macedonia,Points of Interest & Landmarks,3,5.0,0.6199402539208365
Waterbom Bali,Douala,Hungary,Water Parks,3,5.0,0.6199402539208365
Tanah Lot Temple,Douala,Argentina,Religious Sites,3,5.0,0.6199402539208365
Nusa Dua Beach,Douala,Malta,Beaches,3,5.0,0.6199402539208365
Tegenungan Waterfall,Douala,Serbia,Waterfalls,3,5.0,0.6199402539208365
Tanah Lot Temple,Douala,Jordan,Religious Sites,3,5.0,0.6199402539208365
Tanah Lot Temple,Douala,Maldives,Religious Sites,3,5.0,0.6199402539208365
Bromo Tengger Semeru National Park,South Region,Japan,National Parks,3,5.0,0.6199402539208365
Seminyak Beach,Douala,Belgium,Beaches,9,4.222222222222222,0.619193427931292
Nusa Dua Beach,Douala,United Arab Emirates,Beaches,29,3.896551724137931,0.6188946975354742
Tegenungan Waterfall,Douala,Ireland,Waterfalls,12,4.083333333333333,0.6182972367438386
Tanah Lot Temple,Douala,Ireland,Religious Sites,12,4.083333333333333,0.6182972367438386
Kuta Beach - Bali,Douala,Singapore,Beaches,133,3.2857142857142856,0.6181478715459298
Tegenungan Waterfall,Douala,New Zealand,Waterfalls,53,3.6226415094339623,0.6174010455563854
Bromo Tengger Semeru National Park,South Region,Canada,National Parks,4,4.75,0.6172516803584764
Tanah Lot Temple,Douala,Brunei Darussalam,Religious Sites,4,4.75,0.6172516803584764
Tanah Lot Temple,Douala,Iran,Religious Sites,4,4.75,0.6172516803584764
Nusa Dua Beach,Douala,Austria,Beaches,4,4.75,0.6172516803584764
Waterbom Bali,Douala,Bahrain,Water Parks,4,4.75,0.6172516803584764
Tegalalang Rice Terrace,Douala,Chile,Points of Interest & Landmarks,4,4.75,0.6172516803584764
Uluwatu Temple,Douala,Lebanon,Religious Sites,4,4.75,0.6172516803584764
Bromo Tengger Semeru National Park,South Region,Belgium,National Parks,4,4.75,0.6172516803584764
Seminyak Beach,Douala,Taiwan,Beaches,4,4.75,0.6172516803584764
Nusa Dua Beach,Douala,Kuwait,Beaches,4,4.75,0.6172516803584764
Sanur Beach,Douala,Saudi Arabia,Beaches,4,4.75,0.6172516803584764
Kuta Beach - Bali,Douala,Nepal,Beaches,4,4.75,0.6172516803584764
Uluwatu Temple,Douala,Croatia,Religious Sites,4,4.75,0.6172516803584764
Tegenungan Waterfall,Douala,Mexico,Waterfalls,4,4.75,0.6172516803584764
Tanah Lot Temple,Douala,France,Religious Sites,28,3.892857142857143,0.6171769977595221
Seminyak Beach,Douala,United Arab Emirates,Beaches,32,3.8125,0.6142643764002987
Kuta Beach - Bali,Douala,United Arab Emirates,Beaches,36,3.7777777777777777,0.6136669156086632
Kuta Beach - Bali,Douala,United States,Beaches,168,3.011904761904762,0.6134428678117999
Tanah Lot Temple,Douala,Belgium,Religious Sites,24,3.9583333333333335,0.613293502613891
Sewu Temple,N'Djamena,Belgium,Ancient Ruins,24,3.9583333333333335,0.613293502613891
Nusa Dua Beach,Douala,Ireland,Beaches,8,4.25,0.6124719940253921
Tegalalang Rice Terrace,Douala,Lithuania,Points of Interest & Landmarks,8,4.25,0.6124719940253921
Uluwatu Temple,Douala,Germany,Religious Sites,30,3.8,0.6103061986557132
Tegalalang Rice Terrace,Douala,Austria,Points of Interest & Landmarks,11,4.090909090909091,0.609260642270351
Tegenungan Waterfall,Douala,Poland,Waterfalls,11,4.090909090909091,0.609260642270351
Sacred Monkey Forest Sanctuary,Douala,Latvia,Nature & Wildlife Areas,11,4.090909090909091,0.609260642270351
Kuta Beach - Bali,Douala,Malaysia,Beaches,88,3.3295454545454546,0.6084391336818521
Uluwatu Temple,Douala,Netherlands,Religious Sites,43,3.6511627906976742,0.607916355489171
Balekambang Beach,South Region,Indonesia,Beaches,26,3.8461538461538463,0.6075429424943988
Malioboro Road,N'Djamena,Georgia,Flea & Street Markets,70,3.4,0.6061239731142644
Tegenungan Waterfall,Douala,South Africa,Waterfalls,41,3.658536585365854,0.6055265123226289
Tegenungan Waterfall,Douala,China,Waterfalls,32,3.75,0.6047050037341299
Malang City Square,South Region,Indonesia,Points of Interest & Landmarks,39,3.6666666666666665,0.604555638536221
Nusa Dua Beach,Douala,South Korea,Beaches,10,4.1,0.6011949215832711
Tegenungan Waterfall,Douala,Greece,Waterfalls,10,4.1,0.6011949215832711
Nusa Dua Beach,Douala,Netherlands,Beaches,10,4.1,0.6011949215832711
Sacred Monkey Forest Sanctuary,Douala,Pakistan,Nature & Wildlife Areas,7,4.285714285714286,0.601194921583271
Jodipan Colorful Village,South Region,Australia,Neighborhoods,7,4.285714285714286,0.601194921583271
Uluwatu Temple,Douala,South Africa,Religious Sites,32,3.71875,0.6003734129947722
Museum Malang Tempo Doeloe,South Region,Indonesia,Speciality Museums,19,3.9473684210526314,0.5982076176250933
Kuta Beach - Bali,Douala,New Zealand,Beaches,80,3.1625,0.597834204630321
Seminyak Beach,Douala,South Africa,Beaches,41,3.5365853658536586,0.5968633308439134
Water Castle (Tamansari),N'Djamena,Poland,Points of Interest & Landmarks,36,3.638888888888889,0.5932038834951456
Seminyak Beach,Douala,Norway,Beaches,9,4.111111111111111,0.5927557879014189
Tegenungan Waterfall,Douala,Netherlands,Waterfalls,39,3.5128205128205128,0.59260642270351
Nusa Dua Beach,Douala,Philippines,Beaches,18,3.9444444444444446,0.5923823749066467
Uluwatu Temple,Douala,Belgium,Religious Sites,18,3.9444444444444446,0.5923823749066467
Yogyakarta Palace,N'Djamena,Poland,Historic Sites,62,3.2903225806451615,0.5922330097087378
Nusa Dua Beach,Douala,Japan,Beaches,6,4.333333333333333,0.5904406273338312
Tanah Lot Temple,Douala,Brazil,Religious Sites,6,4.333333333333333,0.5904406273338312
Tanah Lot Temple,Douala,Mexico,Religious Sites,6,4.333333333333333,0.5904406273338312
Tanah Lot Temple,Douala,Taiwan,Religious Sites,6,4.333333333333333,0.5904406273338312
Kuta Beach - Bali,Douala,Bangladesh,Beaches,24,3.75,0.5879014189693802
Kuta Beach - Bali,Douala,Canada,Beaches,67,3.044776119402985,0.5859596713965646
Seminyak Beach,Douala,Philippines,Beaches,26,3.6923076923076925,0.5849887976101569
Uluwatu Temple,Douala,Ireland,Religious Sites,8,4.125,0.5827483196415235
Tegalalang Rice Terrace,Douala,Brunei Darussalam,Points of Interest & Landmarks,8,4.125,0.5827483196415235
Seminyak Beach,Douala,Qatar,Beaches,8,4.125,0.5827483196415235
Nusa Dua Beach,Douala,Bulgaria,Beaches,8,4.125,0.5827483196415235
Tanah Lot Temple,Douala,Portugal,Religious Sites,8,4.125,0.5827483196415235
Nusa Dua Beach,Douala,Egypt,Beaches,5,4.4,0.5818521284540702
Sewu Temple,N'Djamena,Asia,Ancient Ruins,5,4.4,0.5818521284540702
Waterbom Bali,Douala,Taiwan,Water Parks,5,4.4,0.5818521284540702
Tegenungan Waterfall,Douala,Lebanon,Waterfalls,5,4.4,0.5818521284540702
Sacred Monkey Forest Sanctuary,Douala,Guatemala,Nature & Wildlife Areas,5,4.4,0.5818521284540702
Water Castle (Tamansari),N'Djamena,Malaysia,Points of Interest & Landmarks,24,3.7083333333333335,0.581478715459298
Sanur Beach,Douala,Thailand,Beaches,24,3.7083333333333335,0.581478715459298
Tegenungan Waterfall,Douala,Malaysia,Waterfalls,30,3.566666666666667,0.5805825242718446
Tegenungan Waterfall,Douala,Bangladesh,Waterfalls,12,4.0,0.5803584764749813
Tanah Lot Temple,Douala,South Korea,Religious Sites,12,4.0,0.5803584764749813
Uluwatu Temple,Douala,Sweden,Religious Sites,12,4.0,0.5803584764749813
Seminyak Beach,Douala,Thailand,Beaches,24,3.6666666666666665,0.576101568334578
Yogyakarta Palace,N'Djamena,Slovakia,Historic Sites,4,4.5,0.5752800597460792
Nusa Dua Beach,Douala,Poland,Beaches,4,4.5,0.5752800597460792
Kuta Beach - Bali,Douala,Kuwait,Beaches,4,4.5,0.5752800597460792
Tanah Lot Temple,Douala,Cambodia,Religious Sites,4,4.5,0.5752800597460792
Seminyak Beach,Douala,Bulgaria,Beaches,4,4.5,0.5752800597460792
Yogyakarta Palace,N'Djamena,Malaysia,Historic Sites,44,3.3181818181818183,0.5749813293502615
Sanur Beach,Douala,Philippines,Beaches,19,3.736842105263158,0.5707244212098581
Tegenungan Waterfall,Douala,Brazil,Waterfalls,7,4.142857142857143,0.5692307692307692
Uluwatu Temple,Douala,Hungary,Religious Sites,7,4.142857142857143,0.5692307692307692
Seminyak Beach,Douala,Greece,Beaches,7,4.142857142857143,0.5692307692307692
Tegalalang Rice Terrace,Douala,Luxembourg,Points of Interest & Landmarks,7,4.142857142857143,0.5692307692307692
Waterbom Bali,Douala,Slovakia,Water Parks,3,4.666666666666667,0.5678117998506349
Bromo Tengger Semeru National Park,South Region,China,National Parks,3,4.666666666666667,0.5678117998506349
Seminyak Beach,Douala,Mauritius,Beaches,3,4.666666666666667,0.5678117998506349
Tegalalang Rice Terrace,Douala,Latvia,Points of Interest & Landmarks,3,4.666666666666667,0.5678117998506349
Sacred Monkey Forest Sanctuary,Douala,Papua New Guinea,Nature & Wildlife Areas,3,4.666666666666667,0.5678117998506349
Sacred Monkey Forest Sanctuary,Douala,Peru,Nature & Wildlife Areas,3,4.666666666666667,0.5678117998506349
Tegalalang Rice Terrace,Douala,Bahrain,Points of Interest & Landmarks,3,4.666666666666667,0.5678117998506349
Waterbom Bali,Douala,Slovenia,Water Parks,3,4.666666666666667,0.5678117998506349
Seminyak Beach,Douala,Sri Lanka,Beaches,3,4.666666666666667,0.5678117998506349
Jodipan Colorful Village,South Region,Singapore,Neighborhoods,3,4.666666666666667,0.5678117998506349
Seminyak Beach,Douala,Bangladesh,Beaches,3,4.666666666666667,0.5678117998506349
Sanur Beach,Douala,Mexico,Beaches,3,4.666666666666667,0.5678117998506349
Uluwatu Temple,Douala,Latvia,Religious Sites,3,4.666666666666667,0.5678117998506349
Waterbom Bali,Douala,Asia,Water Parks,3,4.666666666666667,0.5678117998506349
Mount Semeru Volcano,South Region,Netherlands,Volcanos,3,4.666666666666667,0.5678117998506349
Sacred Monkey Forest Sanctuary,Douala,Moldova,Nature & Wildlife Areas,3,4.666666666666667,0.5678117998506349
Waterbom Bali,Douala,Yemen,Water Parks,3,4.666666666666667,0.5678117998506349
Sanur Beach,Douala,Germany,Beaches,24,3.5833333333333335,0.5674383868558626
Seminyak Beach,Douala,Ireland,Beaches,24,3.5833333333333335,0.5674383868558626
Seminyak Beach,Douala,Germany,Beaches,24,3.5416666666666665,0.5656460044809559
Uluwatu Temple,Douala,Denmark,Religious Sites,15,3.8666666666666667,0.5650485436893203
Kuta Beach - Bali,Douala,Japan,Beaches,22,3.590909090909091,0.5645257654966394
Yogyakarta Palace,N'Djamena,Netherlands,Historic Sites,19,3.6842105263157894,0.5643017176997759
Tegenungan Waterfall,Douala,Philippines,Waterfalls,19,3.6842105263157894,0.5643017176997759
Tegenungan Waterfall,Douala,France,Waterfalls,18,3.7222222222222223,0.564152352501867
Ramayana Ballet at Prambanan,N'Djamena,India,Ballets,17,3.764705882352941,0.5638536221060493
Tegalalang Rice Terrace,Douala,South Korea,Points of Interest & Landmarks,17,3.764705882352941,0.5638536221060493
Yogyakarta Palace,N'Djamena,Georgia,Historic Sites,37,3.2972972972972974,0.5634055265123226
Malioboro Road,N'Djamena,Netherlands,Flea & Street Markets,26,3.5,0.5625840179238237
Seminyak Beach,Douala,Switzerland,Beaches,14,3.9285714285714284,0.5618371919342793
Bromo Tengger Semeru National Park,South Region,Ireland,National Parks,2,5.0,0.5589992531740104
Bromo Tengger Semeru National Park,South Region,Philippines,National Parks,2,5.0,0.5589992531740104
Bromo Tengger Semeru National Park,South Region,India,National Parks,2,5.0,0.5589992531740104
Uluwatu Temple,Douala,Slovakia,Religious Sites,2,5.0,0.5589992531740104
Sacred Monkey Forest Sanctuary,Douala,Bosnia and Herzegovina,Nature & Wildlife Areas,2,5.0,0.5589992531740104
Nusa Dua Beach,Douala,Vietnam,Beaches,2,5.0,0.5589992531740104
Yogyakarta Palace,N'Djamena,Bulgaria,Historic Sites,2,5.0,0.5589992531740104
Sacred Monkey Forest Sanctuary,Douala,Bahamas,Nature & Wildlife Areas,2,5.0,0.5589992531740104
Tanah Lot Temple,Douala,Ecuador,Religious Sites,2,5.0,0.5589992531740104
Ramayana Ballet at Prambanan,N'Djamena,Spain,Ballets,2,5.0,0.5589992531740104
Merapi Volcano,N'Djamena,Egypt,Volcanos,2,5.0,0.5589992531740104
Tegenungan Waterfall,Douala,Austria,Waterfalls,2,5.0,0.5589992531740104
Ramayana Ballet at Prambanan,N'Djamena,Hong Kong,Ballets,2,5.0,0.5589992531740104
Tanah Lot Temple,Douala,Bosnia and Herzegovina,Religious Sites,2,5.0,0.5589992531740104
Bromo Tengger Semeru National Park,South Region,France,National Parks,2,5.0,0.5589992531740104
Bromo Tengger Semeru National Park,South Region,Hong Kong,National Parks,2,5.0,0.5589992531740104
Merapi Volcano,N'Djamena,South Korea,Volcanos,2,5.0,0.5589992531740104
Tegalalang Rice Terrace,Douala,Tunisia,Points of Interest & Landmarks,2,5.0,0.5589992531740104
Seminyak Beach,Douala,Croatia,Beaches,2,5.0,0.5589992531740104
Waterbom Bali,Douala,Serbia,Water Parks,2,5.0,0.5589992531740104
Waterbom Bali,Douala,Chile,Water Parks,2,5.0,0.5589992531740104
Waterbom Bali,Douala,Kazakhstan,Water Parks,2,5.0,0.5589992531740104
Nusa Dua Beach,Douala,Botswana,Beaches,2,5.0,0.5589992531740104
Waterbom Bali,Douala,New Caledonia,Water Parks,2,5.0,0.5589992531740104
Waterbom Bali,Douala,Mongolia,Water Parks,2,5.0,0.5589992531740104
Coban Rondo Waterfall,South Region,France,Waterfalls,2,5.0,0.5589992531740104
Tegalalang Rice Terrace,Douala,Namibia,Points of Interest & Landmarks,2,5.0,0.5589992531740104
Kalibiru National Park,N'Djamena,Japan,National Parks,2,5.0,0.5589992531740104
Waterbom Bali,Douala,Kenya,Water Parks,2,5.0,0.5589992531740104
Mount Semeru Volcano,South Region,Norway,Volcanos,2,5.0,0.5589992531740104
Waterbom Bali,Douala,Cambodia,Water Parks,2,5.0,0.5589992531740104
Sempu Island,South Region,United Kingdom,Nature & Wildlife Areas,2,5.0,0.5589992531740104
Sacred Monkey Forest Sanctuary,Douala,Marshall Islands,Nature & Wildlife Areas,2,5.0,0.5589992531740104
Water Castle (Tamansari),N'Djamena,China,Points of Interest & Landmarks,2,5.0,0.5589992531740104
Waterbom Bali,Douala,Papua New Guinea,Water Parks,2,5.0,0.5589992531740104
Waterbom Bali,Douala,Portugal,Water Parks,2,5.0,0.5589992531740104
Mount Semeru Volcano,South Region,Brunei Darussalam,Volcanos,2,5.0,0.5589992531740104
Bromo Tengger Semeru National Park,South Region,Vietnam,National Parks,2,5.0,0.5589992531740104
Waterbom Bali,Douala,Oman,Water Parks,2,5.0,0.5589992531740104
Yogyakarta Palace,N'Djamena,Australia,Historic Sites,27,3.4074074074074074,0.5564600448095594
Malioboro Road,N'Djamena,Philippines,Flea & Street Markets,16,3.75,0.5547423450336072
Sacred Monkey Forest Sanctuary,Douala,Bahrain,Nature & Wildlife Areas,6,4.166666666666667,0.5529499626587006
Sewu Temple,N'Djamena,Romania,Ancient Ruins,6,4.166666666666667,0.5529499626587006
Sewu Temple,N'Djamena,Netherlands,Ancient Ruins,6,4.166666666666667,0.5529499626587006
Nusa Dua Beach,Douala,Mexico,Beaches,6,4.166666666666667,0.5529499626587006
Sanur Beach,Douala,Bangladesh,Beaches,6,4.166666666666667,0.5529499626587006
